run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
teacher_t5-small_fs10_supp123_seed9,teacher,t5-small,,0.27,0.15452881123502876,35332868,4.745340866668357,134.78419494628906,0.29285000713572146,9,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed5,teacher,t5-small,,0.2698684210526316,0.19974552435123286,35332868,5.9889405666657085,134.78419494628906,0.29270729270729273,5,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed4,teacher,t5-small,,0.26013157894736844,0.139385302079399,35332868,5.004650933329913,134.78419494628906,0.2821464250035679,4,123,10,,,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau1.0_a0.5,student,bert-base-uncased,,0.9177631578947368,0.9178043071838169,109485316,6.044865199752773,417.66114807128906,0.9696927568469346,4,123,1000,1.0,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau1.5_a0.3,student,bert-base-uncased,,0.9167105263157894,0.916472520716471,109485316,7.00959680058683,417.66114807128906,0.9685805644376477,2,123,1000,1.5,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau1.5_a0.3,student,bert-base-uncased,,0.9167105263157894,0.9165914591276152,109485316,8.926914733213684,417.66114807128906,0.9685805644376477,7,123,1000,1.5,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed5_tau2.0_a0.3,student,bert-base-uncased,,0.9164473684210527,0.9161769248580449,109485316,8.36902053464049,417.66114807128906,0.968302516335326,5,123,1000,2.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau2.0_a0.3,student,bert-base-uncased,,0.9163157894736842,0.9162949986468246,109485316,7.37717413479307,417.66114807128906,0.9681634922841652,7,123,1000,2.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau2.0_a0.7,student,bert-base-uncased,,0.9163157894736842,0.9161758202988977,109485316,7.0017203339375556,417.66114807128906,0.9681634922841652,8,123,1000,2.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau1.0_a0.3,student,bert-base-uncased,,0.9161842105263158,0.9161887074347786,109485316,7.407233532285318,417.66114807128906,0.9680244682330044,4,123,1000,1.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau2.0_a0.7,student,bert-base-uncased,,0.9161842105263158,0.9162594674685047,109485316,6.488959132305657,417.66114807128906,0.9680244682330044,7,123,1000,2.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau0.5_a0.5,student,bert-base-uncased,,0.9157894736842105,0.9157331496044646,109485316,8.263882934503878,417.66114807128906,0.9676073960795217,8,123,1000,0.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau2.0_a0.5,student,bert-base-uncased,,0.9156578947368421,0.9156920785665131,109485316,7.396954599244054,417.66114807128906,0.967468372028361,4,123,1000,2.0,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau3.0_a0.3,student,bert-base-uncased,,0.9155263157894736,0.9154479673133521,109485316,9.191675536567345,417.66114807128906,0.9673293479772,2,123,1000,3.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau2.5_a0.7,student,bert-base-uncased,,0.9152631578947369,0.915314423552646,109485316,6.096138198821184,417.66114807128906,0.9670512998748785,7,123,1000,2.5,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed9_tau1.0_a0.7,student,bert-base-uncased,,0.9152631578947369,0.9154512785451676,109485316,6.86372306663543,417.66114807128906,0.9670512998748785,9,123,1000,1.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau2.0_a0.5,student,bert-base-uncased,,0.915,0.915054332428572,109485316,7.405044666181008,417.66114807128906,0.9667732517725567,6,123,1000,2.0,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau2.0_a0.5,student,bert-base-uncased,,0.915,0.9148296049272345,109485316,5.741586134536192,417.66114807128906,0.9667732517725567,7,123,1000,2.0,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed5_tau3.0_a0.7,student,bert-base-uncased,,0.9148684210526316,0.9149049669501845,109485316,7.974620932751956,417.66114807128906,0.9666342277213958,5,123,1000,3.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau1.0_a0.3,student,bert-base-uncased,,0.9148684210526316,0.9148696089766316,109485316,6.209151468162115,417.66114807128906,0.9666342277213958,8,123,1000,1.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed9_tau0.5_a0.9,student,bert-base-uncased,,0.9147368421052632,0.9150016442017305,109485316,6.385342466334502,417.66114807128906,0.966495203670235,9,123,1000,0.5,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau1.5_a0.5,student,bert-base-uncased,,0.9146052631578947,0.9147976986913988,109485316,6.306513132100615,417.66114807128906,0.966356179619074,6,123,1000,1.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau1.5_a0.1,student,bert-base-uncased,,0.9146052631578947,0.9145789860287217,109485316,7.255734398495406,417.66114807128906,0.966356179619074,7,123,1000,1.5,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed1_tau1.5_a0.3,student,bert-base-uncased,,0.9144736842105263,0.914293524101337,109485316,6.944276067467096,417.66114807128906,0.9662171555679133,1,123,1000,1.5,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau0.5_a0.5,student,bert-base-uncased,,0.9144736842105263,0.9143416122804405,109485316,6.699390066205524,417.66114807128906,0.9662171555679133,6,123,1000,0.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau1.0_a0.7,student,bert-base-uncased,,0.9143421052631578,0.9144462038106158,109485316,7.888850599798995,417.66114807128906,0.9660781315167524,4,123,1000,1.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau0.5_a0.1,student,bert-base-uncased,,0.9143421052631578,0.9142809891313209,109485316,7.280176467611454,417.66114807128906,0.9660781315167524,6,123,1000,0.5,0.1,5,2e-05,8,128
