section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.5,0.9,0.6426184210526316,0.051330011899237575,0.6321776422152612,0.05539691707685519,6.615085406583603,1.3184452069790844,0.6789795634644794,0.054234407122786835,10,123,24,False,False,,0.6426 ± 0.0513,0.6322 ± 0.0554,6.62 ± 1.32,0.6790 ± 0.0542,0.6426 $\pm$ 0.0513,0.6322 $\pm$ 0.0554,6.62 $\pm$ 1.32,0.6790 $\pm$ 0.0542
BERT,10,BERT student results for FS=10.,tab:bert_fs10,3.0,0.3,0.6404605263157894,0.05677069541140582,0.6264554818831188,0.058794937969878475,6.746652026674079,0.6713307579831965,0.6766995690254415,0.059982939681173957,10,123,25,False,False,,0.6405 ± 0.0568,0.6265 ± 0.0588,6.75 ± 0.67,0.6767 ± 0.0600,0.6405 $\pm$ 0.0568,0.6265 $\pm$ 0.0588,6.75 $\pm$ 0.67,0.6767 $\pm$ 0.0600
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.5,0.7,0.6398815789473684,0.03782357322619606,0.629723438147119,0.039752844691457324,6.8723365266775245,0.9466276512435117,0.6760878632003338,0.039963736482564995,10,123,26,False,False,,0.6399 ± 0.0378,0.6297 ± 0.0398,6.87 ± 0.95,0.6761 ± 0.0400,0.6399 $\pm$ 0.0378,0.6297 $\pm$ 0.0398,6.87 $\pm$ 0.95,0.6761 $\pm$ 0.0400
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.5,0.3,0.6393947368421051,0.05693804173930469,0.6247960572843931,0.06088006609608323,7.041653413422561,0.9986484045615203,0.6755734742110385,0.06015975493100454,10,123,27,False,False,,0.6394 ± 0.0569,0.6248 ± 0.0609,7.04 ± 1.00,0.6756 ± 0.0602,0.6394 $\pm$ 0.0569,0.6248 $\pm$ 0.0609,7.04 $\pm$ 1.00,0.6756 $\pm$ 0.0602
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.5,0.9,0.6388289473684211,0.056955142979262574,0.6269453127744973,0.06323177924940887,6.5217223467410195,0.9592523180470045,0.6749756707910469,0.06017782380681155,10,123,28,False,False,,0.6388 ± 0.0570,0.6269 ± 0.0632,6.52 ± 0.96,0.6750 ± 0.0602,0.6388 $\pm$ 0.0570,0.6269 $\pm$ 0.0632,6.52 $\pm$ 0.96,0.6750 $\pm$ 0.0602
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.5,0.5,0.6372236842105263,0.05491439832529122,0.6272335615084115,0.05752664252290813,6.976942446573654,0.9505315239602105,0.6732795773668845,0.05802160812904395,10,123,29,False,False,,0.6372 ± 0.0549,0.6272 ± 0.0575,6.98 ± 0.95,0.6733 ± 0.0580,0.6372 $\pm$ 0.0549,0.6272 $\pm$ 0.0575,6.98 $\pm$ 0.95,0.6733 $\pm$ 0.0580
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.5,0.3,0.6371973684210527,0.05683215644199993,0.6235474459316865,0.0582752915552497,7.75713956672765,1.9151946689094315,0.6732517725566524,0.06004787834828298,10,123,30,False,False,,0.6372 ± 0.0568,0.6235 ± 0.0583,7.76 ± 1.92,0.6733 ± 0.0600,0.6372 $\pm$ 0.0568,0.6235 $\pm$ 0.0583,7.76 $\pm$ 1.92,0.6733 $\pm$ 0.0600
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.5,0.5,0.6329605263157895,0.05534320469803025,0.6203613329950202,0.062318833642400866,6.479460920005901,0.5742499663999482,0.6687751981092729,0.05847467756221743,10,123,31,False,True,blue!12,0.6330 ± 0.0553,0.6204 ± 0.0623,6.48 ± 0.57,0.6688 ± 0.0585,0.6330 $\pm$ 0.0553,0.6204 $\pm$ 0.0623,6.48 $\pm$ 0.57,0.6688 $\pm$ 0.0585
BERT,10,BERT student results for FS=10.,tab:bert_fs10,3.0,0.7,0.6316447368421052,0.06479503547369621,0.6226591466707125,0.0667695294342525,6.661316073295893,1.2007983810923657,0.6673849575976644,0.06846131928264858,10,123,32,False,False,,0.6316 ± 0.0648,0.6227 ± 0.0668,6.66 ± 1.20,0.6674 ± 0.0685,0.6316 $\pm$ 0.0648,0.6227 $\pm$ 0.0668,6.66 $\pm$ 1.20,0.6674 $\pm$ 0.0685
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.5,0.7,0.6281842105263158,0.06688531204743209,0.6190279795694572,0.06902925203823011,7.2275913067020765,1.032785166302968,0.663728625052134,0.07066986953433671,10,123,33,False,False,,0.6282 ± 0.0669,0.6190 ± 0.0690,7.23 ± 1.03,0.6637 ± 0.0707,0.6282 $\pm$ 0.0669,0.6190 $\pm$ 0.0690,7.23 $\pm$ 1.03,0.6637 $\pm$ 0.0707
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.5,0.3,0.6272105263157896,0.06699755718317936,0.6119401530472361,0.06508582225415287,6.643649533228503,1.1867701366802328,0.6626998470735436,0.0707884658128963,10,123,34,False,False,,0.6272 ± 0.0670,0.6119 ± 0.0651,6.64 ± 1.19,0.6627 ± 0.0708,0.6272 $\pm$ 0.0670,0.6119 $\pm$ 0.0651,6.64 $\pm$ 1.19,0.6627 $\pm$ 0.0708
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.1,0.5,0.6249868421052632,0.07045507470405751,0.6099715320492338,0.08267380290338881,6.95966801999172,0.9148510670087127,0.6603503406089253,0.07444161931750831,10,123,35,False,False,,0.6250 ± 0.0705,0.6100 ± 0.0827,6.96 ± 0.91,0.6604 ± 0.0744,0.6250 $\pm$ 0.0705,0.6100 $\pm$ 0.0827,6.96 $\pm$ 0.91,0.6604 $\pm$ 0.0744
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.3,0.875907894736842,0.005357505960228245,0.8758451383951229,0.005415299331649428,6.249221933382311,0.764392987330325,0.9254692061726681,0.00566064858859094,10,123,1,True,True,green!15,0.8759 ± 0.0054,0.8758 ± 0.0054,6.25 ± 0.76,0.9255 ± 0.0057,0.8759 $\pm$ 0.0054,0.8758 $\pm$ 0.0054,6.25 $\pm$ 0.76,0.9255 $\pm$ 0.0057
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.5,0.8754868421052633,0.0030260297347644762,0.8753995630399846,0.0029977577504948874,6.996807893289467,0.7250794855859162,0.9250243292089531,0.003197250936217169,10,123,2,False,False,,0.8755 ± 0.0030,0.8754 ± 0.0030,7.00 ± 0.73,0.9250 ± 0.0032,0.8755 $\pm$ 0.0030,0.8754 $\pm$ 0.0030,7.00 $\pm$ 0.73,0.9250 $\pm$ 0.0032
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.1,0.8750526315789475,0.005178857033396522,0.8750123867083509,0.00516425735362029,7.005085326539605,1.1389023155111375,0.9245655498401224,0.005471891207258937,10,123,3,False,False,,0.8751 ± 0.0052,0.8750 ± 0.0052,7.01 ± 1.14,0.9246 ± 0.0055,0.8751 $\pm$ 0.0052,0.8750 $\pm$ 0.0052,7.01 $\pm$ 1.14,0.9246 $\pm$ 0.0055
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.1,0.874986842105263,0.004606077622214507,0.8749470456823654,0.004672351115929329,6.7106641797605935,0.8556874667677403,0.9244960378145419,0.004866702339612165,10,123,4,False,False,,0.8750 ± 0.0046,0.8749 ± 0.0047,6.71 ± 0.86,0.9245 ± 0.0049,0.8750 $\pm$ 0.0046,0.8749 $\pm$ 0.0047,6.71 $\pm$ 0.86,0.9245 $\pm$ 0.0049
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.5,0.3,0.8749210526315789,0.003512717080345325,0.8748920758415547,0.0033884422220077986,6.440138753472032,0.4704542442308488,0.9244265257889616,0.0037114764090955656,10,123,5,False,False,,0.8749 ± 0.0035,0.8749 ± 0.0034,6.44 ± 0.47,0.9244 ± 0.0037,0.8749 $\pm$ 0.0035,0.8749 $\pm$ 0.0034,6.44 $\pm$ 0.47,0.9244 $\pm$ 0.0037
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.1,0.8748026315789474,0.0036539326010984843,0.8747470685013059,0.003602653991753509,6.751503740003197,0.8294124570711798,0.9243014041429166,0.0038606822978379633,10,123,6,False,False,,0.8748 ± 0.0037,0.8747 ± 0.0036,6.75 ± 0.83,0.9243 ± 0.0039,0.8748 $\pm$ 0.0037,0.8747 $\pm$ 0.0036,6.75 $\pm$ 0.83,0.9243 $\pm$ 0.0039
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.3,0.8747763157894737,0.006453198819786567,0.8748283057579977,0.006557844304303609,6.370791460067267,0.7484618756726138,0.9242735993326846,0.006818338805835945,10,123,7,False,False,,0.8748 ± 0.0065,0.8748 ± 0.0066,6.37 ± 0.75,0.9243 ± 0.0068,0.8748 $\pm$ 0.0065,0.8748 $\pm$ 0.0066,6.37 $\pm$ 0.75,0.9243 $\pm$ 0.0068
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.0,0.3,0.8745263157894737,0.004026115119411674,0.8744411167679603,0.00416750072242293,6.8761738933608285,0.7477456143535198,0.924009453635479,0.004253923940988283,10,123,8,False,False,,0.8745 ± 0.0040,0.8744 ± 0.0042,6.88 ± 0.75,0.9240 ± 0.0043,0.8745 $\pm$ 0.0040,0.8744 $\pm$ 0.0042,6.88 $\pm$ 0.75,0.9240 $\pm$ 0.0043
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.5,0.8742368421052632,0.003947270953962377,0.8740927332950221,0.003848005087919735,6.422716300015358,0.40257350421365284,0.923703600722925,0.004170618552775488,10,123,9,False,False,,0.8742 ± 0.0039,0.8741 ± 0.0038,6.42 ± 0.40,0.9237 ± 0.0042,0.8742 $\pm$ 0.0039,0.8741 $\pm$ 0.0038,6.42 $\pm$ 0.40,0.9237 $\pm$ 0.0042
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.5,0.8739342105263159,0.0038081947003746827,0.8738416479147594,0.004003591382255694,6.8831435997951,1.001907489540835,0.9233838454052551,0.004023672976900794,10,123,10,False,False,,0.8739 ± 0.0038,0.8738 ± 0.0040,6.88 ± 1.00,0.9234 ± 0.0040,0.8739 $\pm$ 0.0038,0.8738 $\pm$ 0.0040,6.88 $\pm$ 1.00,0.9234 $\pm$ 0.0040
